,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-10-13,7.8888888888889275,0.0,0,0,0.0,298.6111111111097,0.0,0.0,84.27777777777743,0.0,0.0,0.0,62.66666666666646,144.0999999999995,176.444444444444,149.83333333333374,163.68888888888932,1435.0,0,0.0,3.722222222222193
2024-10-14,7.177777777777816,0.0,0,0,0.0,289.2222222222208,0.0,0.0,81.5555555555552,0.0,0.0,0.0,55.73333333333312,142.7999999999995,175.28888888888844,148.66666666666708,162.8444444444449,1408.0,0,0.0,3.4444444444444153
2024-10-15,6.466666666666705,0.0,0,0,0.0,279.8333333333319,0.0,0.0,78.83333333333297,0.0,0.0,0.0,48.799999999999784,141.4999999999995,174.13333333333287,147.50000000000043,162.00000000000045,1381.0,0,0.0,3.1666666666666377
2024-10-16,5.755555555555594,0.0,0,0,0.0,270.444444444443,0.0,0.0,76.11111111111074,0.0,0.0,0.0,41.86666666666645,140.19999999999948,172.9777777777773,146.33333333333377,161.15555555555602,1354.0,0,0.0,2.88888888888886
2024-10-17,5.0444444444444825,0.0,0,0,0.0,261.05555555555406,0.0,0.0,73.38888888888852,0.0,0.0,0.0,34.93333333333311,138.89999999999947,171.82222222222174,145.1666666666671,160.3111111111116,1327.0,0,0.0,2.6111111111110823
2024-10-18,4.333333333333371,0.0,0,0,0.0,251.66666666666518,0.0,0.0,70.66666666666629,0.0,0.0,0.0,27.999999999999776,137.59999999999945,170.66666666666617,144.00000000000045,159.46666666666715,1300.0,0,0.0,2.3333333333333046
2024-10-19,3.62222222222226,0.0,0,0,0.0,242.2777777777763,0.0,0.0,67.94444444444406,0.0,0.0,0.0,21.066666666666443,136.29999999999944,169.5111111111106,142.8333333333338,158.62222222222272,1273.0,0,0.0,2.055555555555527
2024-10-20,2.9111111111111487,0.0,0,0,0.0,232.8888888888874,0.0,0.0,65.22222222222183,0.0,0.0,0.0,14.133333333333109,134.99999999999943,168.35555555555504,141.66666666666714,157.77777777777828,1246.0,0,0.0,1.7777777777777493
2024-10-21,2.2000000000000375,0.0,0,0,0.0,223.49999999999852,0.0,0.0,62.49999999999961,0.0,0.0,0.0,7.1999999999997755,133.69999999999942,167.19999999999948,140.50000000000048,156.93333333333385,1219.0,0,0.0,1.4999999999999716
2024-10-22,1.4888888888889262,0.0,0,0,0.0,214.11111111110964,0.0,0.0,59.77777777777739,0.0,0.0,0.0,0.2666666666664419,132.3999999999994,166.0444444444439,139.33333333333383,156.08888888888941,1192.0,0,0.0,1.222222222222194
2024-10-23,0.7777777777778151,0.0,0,0,0.0,204.72222222222075,0.0,0.0,57.055555555555166,0.0,0.0,0.0,0.0,131.0999999999994,164.88888888888835,138.16666666666717,155.24444444444498,1165.0,0,0.0,0.9444444444444161
2024-10-24,0.06666666666670396,0.0,0,0,0.0,195.33333333333186,0.0,0.0,54.333333333332945,0.0,0.0,0.0,0.0,129.7999999999994,163.73333333333278,137.0000000000005,154.40000000000055,1138.0,0,0.0,0.6666666666666383
2024-10-25,0.0,0.0,0,0,0.0,185.94444444444298,0.0,0.0,51.61111111111072,0.0,0.0,0.0,0.0,128.49999999999937,162.57777777777721,135.83333333333385,153.5555555555561,1111.0,0,0.0,0.38888888888886053
2024-10-26,0.0,0.0,0,0,0.0,176.5555555555541,0.0,0.0,48.8888888888885,0.0,0.0,0.0,0.0,127.19999999999938,161.42222222222165,134.6666666666672,152.71111111111168,1084.0,0,0.0,0.11111111111108274
