SKU,Amazon Sync (Na) FNSKU,Shop Elan Amazon (Na) FNSKU,UPC,Title,Primary Supplier,Brand,Available Quantity,On Hand,Pending (Ready to Ship),Pending (Payment),Reserve,Hold Quantity,Client
6191-324-LT.BROWN-M,,,4030707302,6191-324-LT.BROWN-M,LD,6191-324-LT.BROWN,0,0,0,0,0,0,
6191-324-LT.BROWN-L,,,4030707303,6191-324-LT.BROWN-L,LD,6191-324-LT.BROWN,0,0,0,0,0,0,
6191-324-LT.BROWN-XXL,,,4030707304,6191-324-LT.BROWN-XXL,LD,6191-324-LT.BROWN,0,0,0,0,0,0,
6191-325-BLUE-S,,,4030707305,6191-325-BLUE-S,LD,6191-325-BLUE,0,0,0,0,0,0,
6191-325-BLUE-M,,,4030707306,6191-325-BLUE-M,LD,6191-325-BLUE,0,0,0,0,0,0,
6191-325-BLUE-L,,,4030707307,6191-325-BLUE-L,LD,6191-325-BLUE,0,0,0,0,0,0,
6191-325-BLUE-XL,,,4030707308,6191-325-BLUE-XL,LD,6191-325-BLUE,0,0,0,0,0,0,
6191-325-BLUE-XXL,,,4030707309,6191-325-BLUE-XXL,LD,6191-325-BLUE,0,0,0,0,0,0,
6191-328-KHAKI-S,,,4030707310,Short Sleeve Jacquard Knit Banded Bottom,LD,6191,2,2,0,0,0,0,
6191-328-KHAKI-M,,,7.84E+11,Short Sleeve Jacquard Knit Banded Bottom,LD,6191,1,1,0,0,0,0,
6191-328-KHAKI-L,,,7.84E+11,Short Sleeve Jacquard Knit Banded Bottom,LD,6191,10,10,0,0,0,0,
6191-328-KHAKI-XL,,,7.84E+11,Short Sleeve Jacquard Knit Banded Bottom,LD,6191,0,0,0,0,0,0,
6191-328-KHAKI-XXL,,,7.84E+11,Short Sleeve Jacquard Knit Banded Bottom,LD,6191,0,0,0,0,0,0,
6191-329-BLUE/KHAKI-S,,,4030707315,6191-329-BLUE/KHAKI-S,LD,6191-329-BLUE/KHAKI,0,0,0,0,0,0,
6191-329-BLUE/KHAKI-M,,,4030707316,6191-329-BLUE/KHAKI-M,LD,6191-329-BLUE/KHAKI,0,0,0,0,0,0,
6191-333-KHAKI-S,,,4030707317,6191-333-KHAKI-S,LD,6191-333-KHAKI,0,0,0,0,0,0,
6191-333-KHAKI-M,,,4030707318,6191-333-KHAKI-M,LD,6191-333-KHAKI,0,0,0,0,0,0,
6191-333-KHAKI-L,,,4030707319,6191-333-KHAKI-L,LD,6191-333-KHAKI,0,0,0,0,0,0,
6191-333-KHAKI-XXL,,,4030707320,6191-333-KHAKI-XXL,LD,6191-333-KHAKI,0,0,0,0,0,0,
6191-343-NAVY-S,,,4030707321,6191-343-NAVY-S,LD,6191-343-NAVY,0,0,0,0,0,0,
6191-343-NAVY-M,,,4030707322,6191-343-NAVY-M,LD,6191-343-NAVY,0,0,0,0,0,0,
6191-343-NAVY-L,,,4030707323,6191-343-NAVY-L,LD,6191-343-NAVY,0,0,0,0,0,0,
6191-343-NAVY-XL,,,4030707324,6191-343-NAVY-XL,LD,6191-343-NAVY,0,0,0,0,0,0,
6191-343-NAVY-XXL,,,4030707325,6191-343-NAVY-XXL,LD,6191-343-NAVY,0,0,0,0,0,0,
6191-346-BLUE-M,,,4030707326,6191-346-BLUE-M,LD,6191-346-BLUE,0,0,0,0,0,0,
6191-346-BLUE-XL,,,4030707327,6191-346-BLUE-XL,LD,6191-346-BLUE,0,0,0,0,0,0,
6191-346-BLUE-XXL,,,4030707328,6191-346-BLUE-XXL,LD,6191-346-BLUE,0,0,0,0,0,0,
6191-345-STONE-M,,,4030707329,6191-345-STONE-M,LD,6191-345-STONE,0,0,0,0,0,0,
6191-345-STONE-L,,,4030707330,6191-345-STONE-L,LD,6191-345-STONE,0,0,0,0,0,0,
6191-345-STONE-XL,,,4030707331,6191-345-STONE-XL,LD,6191-345-STONE,0,0,0,0,0,0,
6191-345-STONE-XXL,,,4030707332,6191-345-STONE-XXL,LD,6191-345-STONE,0,0,0,0,0,0,
6191-350-BLACK-S,,,4030707333,6191-350-BLACK-S,LD,6191-350-BLACK,3,3,0,0,0,0,
6191-350-BLACK-M,,,4030707334,6191-350-BLACK-M,LD,6191-350-BLACK,0,0,0,0,0,0,
6191-350-BLACK-XL,,,4030707335,6191-350-BLACK-XL,LD,6191-350-BLACK,0,0,0,0,0,0,
6191-350-BLACK-XXL,,,4030707336,6191-350-BLACK-XXL,LD,6191-350-BLACK,0,0,0,0,0,0,
6096-400-GREY HT-M,,,4030707337,6096-400-GREY HT-M,LD,6096-400-GREY HT,0,0,0,0,0,0,
6096-400-GREY HT-XXL,,,4030707340,6096-400-GREY HT-XXL,LD,6096-400-GREY HT,0,0,0,0,0,0,
6096-151-BLUE-M,,,4030707341,6096-151-BLUE-M,LD,6096-151-BLUE,0,0,0,0,0,0,
6096SS-150-BLACK-M,,,4030707342,6096SS-150-BLACK-M,LD,6096SS-150-BLACK,0,0,0,0,0,0,
6096-352-BLACK-M,,,4030707344,6096-352-BLACK-M,LD,6096-352-BLACK,0,0,0,0,0,0,
6096-352-BLACK-L,,,4030707345,6096-352-BLACK-L,LD,6096-352-BLACK,0,0,0,0,0,0,
6096-352-BLACK-XXL,,,4030707346,6096-352-BLACK-XXL,LD,6096-352-BLACK,0,0,0,0,0,0,
6096-352BT-BLACK-XLT,,,4030707347,6096-352BT-BLACK-XLT,LD,6096-352BT-BLACK,0,0,0,0,0,0,
6096-352BT-BLACK-2XLT,,,4030707348,6096-352BT-BLACK-2XLT,LD,6096-352BT-BLACK,0,0,0,0,0,0,
6096-352BT-BLACK-4XLT,,,4030707349,6096-352BT-BLACK-4XLT,LD,6096-352BT-BLACK,0,0,0,0,0,0,
6096-352BT-BLACK-6XLT,,,4030707350,6096-352BT-BLACK-6XLT,LD,6096-352BT-BLACK,0,0,0,0,0,0,
6096-352-KHAKI-M,,,4030707351,6096-352-KHAKI-M,LD,6096-352-KHAKI,0,0,0,0,0,0,
6096-352-KHAKI-XXL,,,4030707352,6096-352-KHAKI-XXL,LD,6096-352-KHAKI,0,0,0,0,0,0,
6096-352BT-KHAKI-XLT,,,4030707354,6096-352BT-KHAKI-XLT,LD,6096-352BT-KHAKI,0,0,0,0,0,0,
6096-352BT-KHAKI-2XLT,,,4030707355,6096-352BT-KHAKI-2XLT,LD,6096-352BT-KHAKI,0,0,0,0,0,0,
6096-352BT-KHAKI-4XLT,,,4030707356,6096-352BT-KHAKI-4XLT,LD,6096-352BT-KHAKI,0,0,0,0,0,0,
6096-352BT-KHAKI-5XLT,,,4030707357,6096-352BT-KHAKI-5XLT,LD,6096-352BT-KHAKI,0,0,0,0,0,0,
6096-352BT-KHAKI-6XLT,,,4030707358,6096-352BT-KHAKI-6XLT,LD,6096-352BT-KHAKI,3,3,0,0,0,0,
6096-351-CHARCHOAL-M,,,4030707359,6096-351-CHARCHOAL-M,LD,6096-351-CHARCHOAL,0,0,0,0,0,0,
6096-351-CHARCHOAL-XXL,,,4030707360,6096-351-CHARCHOAL-XXL,LD,6096-351-CHARCHOAL,0,0,0,0,0,0,
6096-351BT-CHARCHOAL-XLT,,,4030707361,6096-351BT-CHARCHOAL-XLT,LD,6096-351BT-CHARCHOAL,0,0,0,0,0,0,
6096-351-TAUPE-M,,,4030707362,6096-351-TAUPE-M,LD,6096-351-TAUPE,0,0,0,0,0,0,
6096-351-TAUPE-L,,,4030707363,6096-351-TAUPE-L,LD,6096-351-TAUPE,0,0,0,0,0,0,
6096-351-TAUPE-XXL,,,4030707364,6096-351-TAUPE-XXL,LD,6096-351-TAUPE,0,0,0,0,0,0,
6096-351BT-TAUPE-XLT,,,4030707365,6096-351BT-TAUPE-XLT,LD,6096-351BT-TAUPE,0,0,0,0,0,0,
