,B-BS,B-NL,B-PS,FB-NXL,FDN-N,FDN-P,FS-NL,FS-PL,FBX-N,FBX-P,F-BE90,F-CH90,F-MX90,F-PB
2024-02-17,8.000000000000002,187.50000000000009,195.5,212.00000000000006,408.9999999999997,414.99999999999966,179.4666666666667,209.99999999999991,174.99999999999952,184.49999999999952,98.99999999999997,98.46666666666667,182.4999999999995,0.0
2024-02-18,7.333333333333335,186.46666666666675,194.0,210.26666666666674,403.93333333333305,409.933333333333,176.90000000000003,207.53333333333325,173.1999999999995,182.73333333333284,97.93333333333331,97.7,168.66666666666615,0.0
2024-02-19,6.666666666666668,185.43333333333342,192.5,208.53333333333342,398.8666666666664,404.86666666666633,174.33333333333337,205.06666666666658,171.3999999999995,180.96666666666616,96.86666666666665,96.93333333333334,754.8333333333328,0.0
2024-02-20,6.000000000000001,184.4000000000001,191.0,206.8000000000001,393.7999999999997,399.79999999999967,171.7666666666667,202.5999999999999,169.59999999999948,179.19999999999948,95.79999999999998,96.16666666666667,740.9999999999994,0.0
2024-02-21,5.333333333333334,183.36666666666676,189.5,205.06666666666678,388.73333333333306,394.733333333333,169.20000000000005,200.13333333333324,167.79999999999947,177.4333333333328,94.73333333333332,95.4,727.1666666666661,0.0
2024-02-22,4.666666666666667,182.33333333333343,188.0,203.33333333333346,383.6666666666664,389.66666666666634,166.63333333333338,197.66666666666657,165.99999999999946,175.66666666666612,93.66666666666666,94.63333333333334,713.3333333333327,0.0
2024-02-23,4.0,181.3000000000001,186.5,201.60000000000014,378.59999999999974,384.5999999999997,164.06666666666672,195.1999999999999,164.19999999999945,173.89999999999944,92.6,93.86666666666667,699.4999999999993,0.0
2024-02-24,3.3333333333333335,180.26666666666677,185.0,199.86666666666682,373.5333333333331,379.533333333333,161.50000000000006,192.73333333333323,162.39999999999944,172.13333333333276,91.53333333333333,93.10000000000001,685.666666666666,0.0
2024-02-25,2.666666666666667,179.23333333333343,183.5,198.1333333333335,368.4666666666664,374.46666666666636,158.9333333333334,190.26666666666657,160.59999999999943,170.36666666666608,90.46666666666667,92.33333333333334,671.8333333333326,0.0
2024-02-26,2.0000000000000004,178.2000000000001,182.0,196.40000000000018,363.39999999999975,369.3999999999997,156.36666666666673,187.7999999999999,158.79999999999941,168.5999999999994,89.4,91.56666666666668,657.9999999999992,0.0
2024-02-27,1.333333333333334,177.16666666666677,180.5,194.66666666666686,358.3333333333331,364.33333333333303,153.80000000000007,185.33333333333323,156.9999999999994,166.83333333333272,88.33333333333334,90.80000000000001,644.1666666666658,0.0
2024-02-28,0.6666666666666673,176.13333333333344,179.0,192.93333333333354,353.2666666666664,359.26666666666637,151.2333333333334,182.86666666666656,155.1999999999994,165.06666666666604,87.26666666666668,90.03333333333335,630.3333333333325,0.0
2024-02-29,6.661338147750939e-16,175.1000000000001,177.5,191.20000000000022,348.19999999999976,354.1999999999997,148.66666666666674,180.3999999999999,153.39999999999938,163.29999999999936,86.20000000000002,89.26666666666668,616.4999999999991,0.0
2024-03-01,0.0,174.06666666666678,176.0,189.4666666666669,343.1333333333331,349.13333333333304,146.10000000000008,177.93333333333322,151.59999999999937,161.53333333333268,85.13333333333335,88.50000000000001,602.6666666666657,0.0
2024-03-02,0.0,173.03333333333345,174.5,187.73333333333358,338.06666666666644,344.0666666666664,143.53333333333342,175.46666666666655,149.79999999999936,159.766666666666,84.06666666666669,87.73333333333335,588.8333333333323,0.0
