,B-BL,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,FS-NL,F-MX90
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.93333333333266,35.533333333333246,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.366666666666,31.566666666666578,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999933,27.59999999999991,0.0
2024-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.23333333333267,23.63333333333324,0.0
2024-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.666666666666,19.666666666666572,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.09999999999934,15.699999999999905,0.0
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.53333333333268,11.733333333333238,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.96666666666601,7.766666666666572,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.39999999999935,3.799999999999905,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83333333333269,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.266666666666026,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.69999999999936,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.133333333332693,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.566666666666027,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
