,B-BS,B-NL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FDN-P,F-BE90,F-CH90,F-LI90,F-MX90
2024-08-05,0,0.0,27.419178082192005,10.942465753424969,90.26849315068523,17.567123287670967,11.621917808218992,79.56712328767078,0.0,0.0,0.0,0.0,788.7671232876712
2024-08-06,0,0.0,24.635616438356386,7.893150684931818,88.4986301369866,14.624657534246309,8.58356164383543,77.62465753424613,0.0,0.0,0.0,0.0,781.2712328767124
2024-08-07,0,0.0,21.852054794520768,4.843835616438668,86.72876712328798,11.68219178082165,5.5452054794518695,75.68219178082147,0.0,0.0,0.0,0.0,773.7753424657535
2024-08-08,0,0.0,19.06849315068515,1.7945205479455169,84.95890410958935,8.739726027396992,2.5068493150683078,73.73972602739681,0.0,0.0,0.0,0.0,766.2794520547947
2024-08-09,0,0.0,16.28493150684953,0.0,83.18904109589073,5.797260273972334,0.0,71.79726027397216,0.0,0.0,0.0,0.0,758.7835616438358
2024-08-10,0,0.0,13.501369863013915,0.0,81.4191780821921,2.8547945205476766,0.0,69.8547945205475,0.0,0.0,0.0,0.0,751.287671232877
2024-08-11,0,0.0,10.717808219178298,0.0,79.64931506849348,0.0,0.0,67.91232876712284,0.0,0.0,0.0,0.0,743.7917808219181
2024-08-12,0,0.0,7.934246575342682,0.0,77.87945205479485,0.0,0.0,65.96986301369819,0.0,0.0,0.0,0.0,736.2958904109593
2024-08-13,0,0.0,5.150684931507065,0.0,76.10958904109623,0.0,0.0,64.02739726027353,0.0,0.0,0.0,0.0,728.8000000000004
2024-08-14,0,0.0,2.3671232876714488,0.0,74.3397260273976,0.0,0.0,62.084931506848875,0.0,0.0,0.0,0.0,721.3041095890416
2024-08-15,0,0.0,0.0,0.0,72.56986301369898,0.0,0.0,60.14246575342422,0.0,0.0,0.0,0.0,713.8082191780827
2024-08-16,0,0.0,0.0,0.0,70.80000000000035,0.0,0.0,58.19999999999956,0.0,0.0,0.0,0.0,706.3123287671239
2024-08-17,0,0.0,0.0,0.0,69.03013698630173,0.0,0.0,56.257534246574906,0.0,0.0,0.0,0.0,698.816438356165
2024-08-18,0,0.0,0.0,0.0,67.2602739726031,0.0,0.0,54.31506849315025,0.0,0.0,0.0,0.0,691.3205479452062
2024-08-19,0,0.0,0.0,0.0,65.49041095890448,0.0,0.0,52.37260273972559,0.0,0.0,0.0,0.0,683.8246575342473
2024-08-20,0,0.0,0.0,0.0,63.720547945205844,0.0,0.0,50.43013698630094,0.0,0.0,0.0,0.0,676.3287671232885
2024-08-21,0,0.0,0.0,0.0,61.95068493150721,0.0,0.0,48.48767123287628,0.0,0.0,0.0,0.0,668.8328767123296
2024-08-22,0,0.0,0.0,0.0,60.18082191780858,0.0,0.0,46.545205479451624,0.0,0.0,0.0,0.0,661.3369863013708
2024-08-23,0,0.0,0.0,0.0,58.41095890410995,0.0,0.0,44.60273972602697,0.0,0.0,0.0,0.0,653.8410958904119
2024-08-24,0,0.0,0.0,0.0,56.641095890411314,0.0,0.0,42.66027397260231,0.0,0.0,0.0,0.0,646.345205479453
2024-08-25,0,0.0,0.0,0.0,54.87123287671268,0.0,0.0,40.717808219177655,0.0,0.0,0.0,0.0,638.8493150684942
2024-08-26,0,0.0,0.0,0.0,53.10136986301405,0.0,0.0,38.775342465753,0.0,0.0,0.0,0.0,631.3534246575354
2024-08-27,0,0.0,0.0,0.0,51.33150684931542,0.0,0.0,36.83287671232834,0.0,0.0,0.0,0.0,623.8575342465765
2024-08-28,0,0.0,0.0,0.0,49.561643835616785,0.0,0.0,34.890410958903686,0.0,0.0,0.0,0.0,616.3616438356177
2024-08-29,0,0.0,0.0,0.0,47.79178082191815,0.0,0.0,32.94794520547903,0.0,0.0,0.0,0.0,608.8657534246588
2024-08-30,0,0.0,0.0,0.0,46.02191780821952,0.0,0.0,31.005479452054374,0.0,0.0,0.0,0.0,601.3698630137
