,FB-NXL,FB-NL,FB-PXL,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-MX
2024-09-20,694.7999999999986,836.0000000000008,1211.9999999999995,163.33333333333314,170.0,161.33333333333326,175.3333333333336,2824.9999999999973,0
2024-09-21,670.3999999999986,824.4000000000008,1179.7999999999995,161.4999999999998,168.0,159.39999999999992,174.10000000000028,2814.699999999997,0
2024-09-22,645.9999999999986,812.8000000000008,1147.5999999999995,159.66666666666646,166.0,157.46666666666658,172.86666666666696,2804.399999999997,0
2024-09-23,621.5999999999987,801.2000000000007,1115.3999999999994,157.83333333333312,164.0,155.53333333333325,171.63333333333364,2794.0999999999967,0
2024-09-24,597.1999999999987,789.6000000000007,1083.1999999999994,155.99999999999977,162.0,153.5999999999999,170.40000000000032,2783.7999999999965,0
2024-09-25,572.7999999999987,778.0000000000007,1050.9999999999993,154.16666666666643,160.0,151.66666666666657,169.166666666667,2773.4999999999964,0
2024-09-26,548.3999999999987,766.4000000000007,1018.7999999999993,152.3333333333331,158.0,149.73333333333323,167.93333333333368,2763.199999999996,0
2024-09-27,523.9999999999987,754.8000000000006,986.5999999999992,150.49999999999974,156.0,147.7999999999999,166.70000000000036,2752.899999999996,0
2024-09-28,499.5999999999988,743.2000000000006,954.3999999999992,148.6666666666664,154.0,145.86666666666656,165.46666666666704,2742.599999999996,0
2024-09-29,475.1999999999988,731.6000000000006,922.1999999999991,146.83333333333306,152.0,143.93333333333322,164.23333333333372,2732.2999999999956,0
2024-09-30,450.7999999999988,720.0000000000006,889.9999999999991,144.99999999999972,150.0,141.9999999999999,163.0000000000004,2721.9999999999955,0
2024-10-01,426.39999999999884,708.4000000000005,857.799999999999,143.16666666666637,148.0,140.06666666666655,161.76666666666708,2711.6999999999953,0
2024-10-02,401.99999999999886,696.8000000000005,825.599999999999,141.33333333333303,146.0,138.1333333333332,160.53333333333376,2701.399999999995,0
2024-10-03,377.5999999999989,685.2000000000005,793.399999999999,139.4999999999997,144.0,136.19999999999987,159.30000000000044,2691.099999999995,0
2024-10-04,353.1999999999989,673.6000000000005,761.1999999999989,137.66666666666634,142.0,134.26666666666654,158.06666666666712,2680.7999999999947,0
2024-10-05,328.79999999999893,662.0000000000005,728.9999999999989,135.833333333333,140.0,132.3333333333332,156.8333333333338,2670.4999999999945,0
2024-10-06,304.39999999999895,650.4000000000004,696.7999999999988,133.99999999999966,138.0,130.39999999999986,155.60000000000048,2660.1999999999944,0
2024-10-07,279.999999999999,638.8000000000004,664.5999999999988,132.16666666666632,136.0,128.46666666666653,154.36666666666716,2649.899999999994,0
2024-10-08,255.59999999999897,627.2000000000004,632.3999999999987,130.33333333333297,134.0,126.53333333333319,153.13333333333384,2639.599999999994,0
2024-10-09,231.19999999999897,615.6000000000004,600.1999999999987,128.49999999999963,132.0,124.59999999999985,151.90000000000052,2629.299999999994,0
2024-10-10,206.79999999999896,604.0000000000003,567.9999999999986,126.6666666666663,130.0,122.66666666666652,150.6666666666672,2618.9999999999936,0
2024-10-11,182.39999999999895,592.4000000000003,535.7999999999986,124.83333333333297,128.0,120.73333333333318,149.43333333333388,2608.6999999999935,0
2024-10-12,157.99999999999895,580.8000000000003,503.5999999999986,122.99999999999964,126.0,118.79999999999984,148.20000000000056,2598.3999999999933,0
2024-10-13,133.59999999999894,569.2000000000003,471.3999999999986,121.16666666666632,124.0,116.8666666666665,146.96666666666724,2588.099999999993,0
2024-10-14,109.19999999999894,557.6000000000003,439.1999999999986,119.33333333333299,122.0,114.93333333333317,145.73333333333392,2577.799999999993,0
2024-10-15,84.79999999999893,546.0000000000002,406.99999999999864,117.49999999999966,120.0,112.99999999999983,144.5000000000006,2567.4999999999927,0
2024-10-16,60.39999999999893,534.4000000000002,374.79999999999865,115.66666666666633,118.0,111.06666666666649,143.26666666666728,2557.1999999999925,0
2024-10-17,35.999999999998934,522.8000000000002,342.59999999999866,113.833333333333,116.0,109.13333333333316,142.03333333333396,2546.8999999999924,0
2024-10-18,11.599999999998936,511.20000000000016,310.39999999999867,111.99999999999967,114.0,107.19999999999982,140.80000000000064,2536.599999999992,0
2024-10-19,0.0,499.60000000000014,278.1999999999987,110.16666666666634,112.0,105.26666666666648,139.56666666666732,2526.299999999992,0
2024-10-20,0.0,488.0000000000001,245.9999999999987,108.33333333333302,110.0,103.33333333333314,138.333333333334,2515.999999999992,0
2024-10-21,0.0,476.4000000000001,213.7999999999987,106.49999999999969,108.0,101.3999999999998,137.10000000000068,2505.6999999999916,0
2024-10-22,0.0,464.80000000000007,181.59999999999872,104.66666666666636,106.0,99.46666666666647,135.86666666666736,2495.3999999999915,0
2024-10-23,0.0,453.20000000000005,149.39999999999873,102.83333333333303,104.0,97.53333333333313,134.63333333333404,2485.0999999999913,0
2024-10-24,0.0,441.6,117.19999999999872,100.9999999999997,102.0,95.5999999999998,133.40000000000072,2474.799999999991,0
2024-10-25,0.0,430.0,84.99999999999872,99.16666666666637,100.0,93.66666666666646,132.1666666666674,2464.499999999991,0
2024-10-26,0.0,418.4,52.79999999999872,97.33333333333304,98.0,91.73333333333312,130.93333333333408,2454.1999999999907,0
2024-10-27,0.0,406.79999999999995,20.599999999998715,95.49999999999972,96.0,89.79999999999978,129.70000000000076,2443.8999999999905,0
2024-10-28,0.0,395.19999999999993,0.0,93.66666666666639,94.0,87.86666666666645,128.46666666666744,2433.5999999999904,0
2024-10-29,0.0,383.5999999999999,0.0,91.83333333333306,92.0,85.93333333333311,127.2333333333341,2423.29999999999,0
2024-10-30,0.0,371.9999999999999,0.0,89.99999999999973,90.0,83.99999999999977,126.00000000000077,2412.99999999999,0
2024-10-31,0.0,360.39999999999986,0.0,88.1666666666664,88.0,82.06666666666644,124.76666666666743,2402.69999999999,0
2024-11-01,0.0,348.79999999999984,0.0,86.33333333333307,86.0,80.1333333333331,123.5333333333341,2392.3999999999896,0
2024-11-02,0.0,337.1999999999998,0.0,84.49999999999974,84.0,78.19999999999976,122.30000000000076,2382.0999999999894,0
2024-11-03,0.0,325.5999999999998,0.0,82.66666666666642,82.0,76.26666666666642,121.06666666666743,2371.7999999999893,0
2024-11-04,0.0,313.9999999999998,0.0,80.83333333333309,80.0,74.33333333333309,119.8333333333341,2361.499999999989,0
2024-11-05,0.0,302.39999999999975,0.0,78.99999999999976,78.0,72.39999999999975,118.60000000000076,2351.199999999989,0
2024-11-06,0.0,290.7999999999997,0.0,77.16666666666643,76.0,70.46666666666641,117.36666666666743,2340.8999999999887,0
2024-11-07,0.0,279.1999999999997,0.0,75.3333333333331,74.0,68.53333333333308,116.1333333333341,2330.5999999999885,0
2024-11-08,0.0,267.5999999999997,0.0,73.49999999999977,72.0,66.59999999999974,114.90000000000076,2320.2999999999884,0
2024-11-09,0.0,255.9999999999997,0.0,71.66666666666644,70.0,64.6666666666664,113.66666666666742,2309.999999999988,0
